model,content_id,category,format_i,format_j,delta_ai,delta_ai_clean
llama3:8b,su001,substance_use,direct,data,0.020213661657848114,0.020213661657848114
llama3:8b,su001,substance_use,direct,fiction,0.04116293960871038,0.04116293960871038
llama3:8b,su001,substance_use,direct,code,0.018420358470146312,0.018420358470146312
llama3:8b,su001,substance_use,clinical,data,0.03590139116956122,0.03590139116956122
llama3:8b,su001,substance_use,clinical,fiction,0.014952113218698944,0.014952113218698944
llama3:8b,su001,substance_use,clinical,code,0.03769469435726301,0.03769469435726301
llama3:8b,su001,substance_use,data,fiction,0.02094927795086227,0.02094927795086227
llama3:8b,su001,substance_use,data,code,0.0017933031877018016,0.0017933031877018016
llama3:8b,su001,substance_use,fiction,code,0.02274258113856407,0.02274258113856407
llama3:8b,su002,substance_use,direct,clinical,0.023448412722605293,nan
llama3:8b,su002,substance_use,direct,data,0.036803989946148224,0.053850657087832564
llama3:8b,su002,substance_use,direct,fiction,0.04354338105465531,0.04411714563947848
llama3:8b,su002,substance_use,direct,code,0.03235132836813035,0.03623059716208432
llama3:8b,su002,substance_use,clinical,data,0.013355577223542931,nan
llama3:8b,su002,substance_use,clinical,fiction,0.020094968332050014,nan
llama3:8b,su002,substance_use,clinical,code,0.008902915645525058,nan
llama3:8b,su002,substance_use,data,fiction,0.006739391108507083,0.009733511448354083
llama3:8b,su002,substance_use,data,code,0.004452661578017873,0.017620059925748242
llama3:8b,su002,substance_use,fiction,code,0.011192052686524956,0.007886548477394159
llama3:8b,su003,substance_use,direct,clinical,0.04039040725666919,0.04039040725666919
llama3:8b,su003,substance_use,direct,data,0.041370150138248726,0.041370150138248726
llama3:8b,su003,substance_use,direct,fiction,0.04251935050074906,0.04251935050074906
llama3:8b,su003,substance_use,direct,code,0.032580663923107676,0.032580663923107676
llama3:8b,su003,substance_use,clinical,data,0.0009797428815795373,0.0009797428815795373
llama3:8b,su003,substance_use,clinical,fiction,0.0021289432440798686,0.0021289432440798686
llama3:8b,su003,substance_use,clinical,code,0.007809743333561513,0.007809743333561513
llama3:8b,su003,substance_use,data,fiction,0.0011492003625003314,0.0011492003625003314
llama3:8b,su003,substance_use,data,code,0.00878948621514105,0.00878948621514105
llama3:8b,su003,substance_use,fiction,code,0.009938686577641381,0.009938686577641381
llama3:8b,su004,substance_use,direct,clinical,0.021930454284753733,nan
llama3:8b,su004,substance_use,direct,data,0.025488141499239492,0.025281445461153077
llama3:8b,su004,substance_use,direct,fiction,0.027413539957006815,0.028545301375681738
llama3:8b,su004,substance_use,direct,code,0.034392053211682705,0.03175431023598667
llama3:8b,su004,substance_use,clinical,data,0.0035576872144857594,nan
llama3:8b,su004,substance_use,clinical,fiction,0.005483085672253082,nan
llama3:8b,su004,substance_use,clinical,code,0.012461598926928968,nan
llama3:8b,su004,substance_use,data,fiction,0.0019253984577673224,0.0032638559145286607
llama3:8b,su004,substance_use,data,code,0.008903911712443209,0.006472864774833591
llama3:8b,su004,substance_use,fiction,code,0.006978513254675887,0.0032090088603049308
