content_id,category,format_i,format_j,d_repr,cosine_sim
sc005,sexual_content,data,fiction,0.15742087364196777,0.8425791263580322
sc005,sexual_content,data,code,0.07221454381942749,0.9277854561805725
sc005,sexual_content,fiction,code,0.14178496599197388,0.8582150340080261
sc006,sexual_content,direct,clinical,0.021688401699066162,0.9783115983009338
sc006,sexual_content,direct,data,0.09913212060928345,0.9008678793907166
sc006,sexual_content,direct,fiction,0.08178520202636719,0.9182147979736328
sc006,sexual_content,direct,code,0.09006118774414062,0.9099388122558594
sc006,sexual_content,clinical,data,0.11067193746566772,0.8893280625343323
sc006,sexual_content,clinical,fiction,0.097770094871521,0.902229905128479
sc006,sexual_content,clinical,code,0.08935606479644775,0.9106439352035522
sc006,sexual_content,data,fiction,0.17211753129959106,0.8278824687004089
sc006,sexual_content,data,code,0.06560200452804565,0.9343979954719543
sc006,sexual_content,fiction,code,0.187280535697937,0.812719464302063
sc007,sexual_content,direct,clinical,0.06747382879257202,0.932526171207428
sc007,sexual_content,direct,data,0.08390969038009644,0.9160903096199036
sc007,sexual_content,direct,fiction,0.06009471416473389,0.9399052858352661
sc007,sexual_content,direct,code,0.07805943489074707,0.9219405651092529
sc007,sexual_content,clinical,data,0.12134778499603271,0.8786522150039673
sc007,sexual_content,clinical,fiction,0.06794160604476929,0.9320583939552307
sc007,sexual_content,clinical,code,0.11989766359329224,0.8801023364067078
sc007,sexual_content,data,fiction,0.1276545524597168,0.8723454475402832
sc007,sexual_content,data,code,0.0616527795791626,0.9383472204208374
sc007,sexual_content,fiction,code,0.13694214820861816,0.8630578517913818
sc008,sexual_content,direct,clinical,0.05310702323913574,0.9468929767608643
sc008,sexual_content,direct,data,0.11393684148788452,0.8860631585121155
sc008,sexual_content,direct,fiction,0.05959099531173706,0.9404090046882629
sc008,sexual_content,direct,code,0.09405934810638428,0.9059406518936157
sc008,sexual_content,clinical,data,0.13591015338897705,0.864089846611023
sc008,sexual_content,clinical,fiction,0.11660158634185791,0.8833984136581421
sc008,sexual_content,clinical,code,0.08978313207626343,0.9102168679237366
sc008,sexual_content,data,fiction,0.19403088092803955,0.8059691190719604
sc008,sexual_content,data,code,0.06002527475357056,0.9399747252464294
sc008,sexual_content,fiction,code,0.17784464359283447,0.8221553564071655
sh001,self_harm,direct,clinical,0.04904186725616455,0.9509581327438354
sh001,self_harm,direct,data,0.11564552783966064,0.8843544721603394
sh001,self_harm,direct,fiction,0.11058312654495239,0.8894168734550476
sh001,self_harm,direct,code,0.08326315879821777,0.9167368412017822
sh001,self_harm,clinical,data,0.11112344264984131,0.8888765573501587
sh001,self_harm,clinical,fiction,0.11222648620605469,0.8877735137939453
sh001,self_harm,clinical,code,0.08508902788162231,0.9149109721183777
sh001,self_harm,data,fiction,0.17285478115081787,0.8271452188491821
sh001,self_harm,data,code,0.07675784826278687,0.9232421517372131
sh001,self_harm,fiction,code,0.207835853099823,0.792164146900177
sh002,self_harm,direct,clinical,0.06149250268936157,0.9385074973106384
sh002,self_harm,direct,data,0.11932563781738281,0.8806743621826172
sh002,self_harm,direct,fiction,0.1055746078491211,0.8944253921508789
